stop_id,stop_name,transfers,borough
G05,Jamaica Center-Parsons/Archer,J Z,Q
G06,Sutphin Blvd-Archer Av-JFK Airport,J Z,Q
J12,121 St,J Z,Q
J13,111 St,J,Q
J14,104 St,J Z,Q
J15,Woodhaven Blvd,J Z,Q
J16,85 St-Forest Pkwy,J,Q
J17,75 St-Elderts Ln,J Z,Q
J19,Cypress Hills,J,Bk
J20,Crescent St,J Z,Bk
J21,Norwood Av,J Z,Bk
J22,Cleveland St,J,Bk
J23,Van Siclen Av,J Z,Bk
J24,Alabama Av,J,Bk
J27,Broadway Junction,J Z,Bk
J28,Chauncey St,J Z,Bk
J29,Halsey St,J,Bk
J30,Gates Av,J Z,Bk
J31,Kosciuszko St,J,Bk
M11,Myrtle Av,J M Z,Bk
M12,Flushing Av,J M,Bk
M13,Lorimer St,J M,Bk
M14,Hewes St,J M,Bk
M16,Marcy Av,J M Z,Bk
M18,Delancey St-Essex St,J Z,M
M19,Bowery,J Z,M
M20,Canal St,J Z,M
M21,Chambers St,J Z,M
M22,Fulton St,J Z,M
M23,Broad St,J Z,M
