stop_id,stop_name,transfers,borough
H15,Rockaway Park-Beach 116 St,A Sr,Q
H14,Beach 105 St,A Sr,Q
H13,Beach 98 St,A Sr,Q
H12,Beach 90 St,A Sr,Q
H11,Far Rockaway-Mott Av,A,Q
H10,Beach 25 St,A,Q
H09,Beach 36 St,A,Q
H08,Beach 44 St,A,Q
H07,Beach 60 St,A,Q
H06,Beach 67 St,A,Q
H04,Broad Channel,A Sr,Q
H03,Howard Beach-JFK Airport,A,Q
H02,Aqueduct-N Conduit Av,A,Q
H01,Aqueduct Racetrack,A,Q
A65,Ozone Park-Lefferts Blvd,A,Q
A64,111 St,A,Q
A63,104 St,A,Q
A61,Rockaway Blvd,A,Q
A60,88 St,A,Q
A59,80 St,A,Q
A57,Grant Av,A,Bk
A55,Euclid Av,A C,Bk
A51,Broadway Junction,A C,Bk
A48,Utica Av,A C,Bk
A46,Nostrand Av,A C,Bk
A42,Hoyt-Schermerhorn Sts,A C,Bk
A41,Jay St-MetroTech,A C F R,Bk
A40,High St,A C,Bk
A38,Fulton St,A C J Z 2 3 4 5,M
A36,Chambers St,A C,M
A34,Canal St,A C E,M
A32,W 4 St-Wash Sq,A C E B D F M,M
A31,14 St (8th Av),A C E L,M
A28,34 St-Penn Station,A C E 1 2 3,M
A27,42 St-Port Authority Bus Terminal,A C E,M
A24,59 St-Columbus Circle,A B C D 1,M
A15,125 St,A B C D,M
A12,145 St,A C,M
A09,168 St,A C,M
A07,175 St,A,M
A06,181 St,A,M
A05,190 St,A,M
A03,Dyckman St,A,M
A02,Inwood-207 St,A,M
